kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_jiwa,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian,ketinggian_air_min(cm),ketinggian_air_max(cm),jumlah_kejadian,jumlah_terdampak_kk,tanggal_kejadian
Jakarta Pusat,JOHAR BARU,JOHAR BARU,"RW 01, 02, 06, 08",4,4,140,0,0,0,0,140,1,0,0,10,30,1,35, 01 Januari
Jakarta Pusat,KEMAYORAN,GUNUNG SAHARI SELATAN,"RW 01, 02, 07, 08",4,4,0,0,0,0,0,0,0,0,0,10,70,1,0, 01 Januari
Jakarta Pusat,KEMAYORAN,SERDANG,"RW 01, 02, 06, 07",4,4,0,1,0,0,0,0,0,0,0,10,30,1,0, 01 Januari
Jakarta Pusat,SAWAH BESAR,PASAR BARU,"RW 02, 03, 04, 05, 06, 07, 08",7,7,625,0,0,0,0,625,5,0,0,10,70,1,155, 01 Januari
Jakarta Pusat,TANAH ABANG,BENDUNGAN HILIR,"RW 07, 09",2,2,195,0,0,0,0,195,6,0,0,31,70,1,52, 01 Januari
Jakarta Pusat,TANAH ABANG,KARET TENGSIN,"RW 02, 03, 04, 05, 06, 07, 09, 11",8,31,2078,0,0,0,0,2078,8,0,0,71,150,1,535, 01 Januari
Jakarta Pusat,TANAH ABANG,PETAMBURAN,"RW 02, 03",2,2,0,1,0,0,0,0,0,0,0,40,60,1,0, 18 Januari 
Jakarta Utara,CILINCING,CILINCING,"RW 05, 06, 09",3,21,1121,0,0,0,0,1121,14,0,0,10,35,1,280, 01 Januari
Jakarta Utara,CILINCING,MARUNDA,RW 04,1,1,0,0,0,0,0,0,0,0,0,10,30,1,0, 01 Januari
Jakarta Utara,CILINCING,ROROTAN,"RW 01, 02, 03, 04, 05",5,5,150,1,0,0,0,338,3,0,0,10,150,2,36," 01, 24 Januari"
Jakarta Utara,CILINCING,SEMPER BARAT,"RW 01, 02, 04, 05, 16",5,5,574,0,0,0,0,574,7,0,0,10,70,1,143, 01 Januari
Jakarta Utara,CILINCING,SEMPER TIMUR,"RW 02, 03, 10, 11",4,6,120,0,0,0,0,120,4,0,0,10,150,1,30, 01 Januari
Jakarta Utara,CILINCING,SUKA PURA,"RW 02, 03, 04, 05, 06, 07, 09, 10, 12",9,9,278,0,0,0,0,278,2,0,0,10,150,1,70, 01 Januari
Jakarta Utara,KELAPA GADING,KELAPA GADING BARAT,"RW 02, 03, 06, 11, 12",5,5,0,0,0,0,0,0,0,0,0,10,30,1,0, 01 Januari
Jakarta Utara,KELAPA GADING,KELAPA GADING TIMUR,"RW 15, 16",2,2,100,0,0,0,0,100,2,0,0,10,30,1,25, 01 Januari
Jakarta Utara,KELAPA GADING,PEGANGSAAN DUA,"RW 02, 03, 04, 08, 09, 10, 11",7,7,210,0,0,0,0,210,3,0,0,10,70,1,52, 01 Januari
Jakarta Utara,KOJA,TUGU SELATAN,RW. 04,1,1,0,0,0,0,0,0,0,0,0,20,50,1,0, 01 Januari 
Jakarta Utara,PENJARINGAN,KAPUK MUARA,"RW. 01, 02, 03, 04, 05, 09",6,6,0,0,0,0,0,0,0,0,0,20,40,1,0, 01 Januari
Jakarta Utara,PENJARINGAN,PEJAGALAN,"RW 08, 09, 10, 12, 13, 14, 15",7,7,1168,0,0,0,0,1168,10,0,0,10,150,1,292, 01 Januari
Jakarta Utara,PENJARINGAN,PENJARINGAN,RW 17,1,1,0,0,0,0,0,0,0,0,0,10,30,1,0, 01 Januari
Jakarta Utara,PENJARINGAN,PLUIT,"RW 01, 11, 22",3,3,0,0,0,0,0,0,0,0,0,15,70,5,0," 24, 27, 28, 30, 31  Januari"
Jakarta Utara,PADEMANGAN,ANCOL,"RW 02, 05, 08, 10",4,4,0,0,0,0,0,0,0,0,0,10,30,1,0, 24 Januari
Jakarta Barat,CENGKARENG,CENGKARENG BARAT,"RW 01, 03, 05, 06, 07, 09, 10, 11, 14",9,9,2220,0,0,0,0,2220,20,0,0,31,70,2,550," 01, 24 Januari"
Jakarta Barat,CENGKARENG,CENGKARENG TIMUR,"RW 02, 03, 04, 05, 06, 12, 13, 14, 16",9,9,362,1,0,0,0,362,6,0,0,10,70,1,90, 01 Januari
Jakarta Barat,CENGKARENG,DURI KOSAMBI,"RW 01, 02, 03, 04, 05, 06, 07,08, 09, 10, 11, 12, 13, 14, 15",15,15,1230,1,0,0,0,1230,8,0,0,71,150,1,307, 01 Januari
Jakarta Barat,CENGKARENG,KAPUK,"RW 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 13, 15 ,16",13,13,4461,1,0,0,0,4461,9,0,0,31,70,2,1115," 01, 24 Januari"
Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,"RW 01, 02, 03, 04, 05, 06, 07, 08",8,8,2804,0,0,0,0,2804,31,0,0,31,70,1,701, 01 Januari
Jakarta Barat,CENGKARENG,RAWA BUAYA,"RW 01, 02, 03, 04, 11, 12",6,6,2133,0,0,0,0,2133,7,0,0,31,70,1,533, 01 Januari
Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR BARU,"RW 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13",13,13,60,0,0,0,0,60,1,0,0,31,70,1,15, 01 Januari
Jakarta Barat,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,"RW 01, 02, 04, 05, 07",5,5,85,0,0,0,0,85,3,0,0,10,150,1,21, 01 Januari
Jakarta Barat,GROGOL PETAMBURAN,TOMANG,RW 14,1,1,24,0,0,0,0,24,1,0,0,31,70,1,6, 01 Januari
Jakarta Barat,GROGOL PETAMBURAN,WIJAYA KUSUMA,"RW 01, 02, 03, 04, 05, 07, 08, 09",8,8,208,0,0,0,0,208,3,0,0,31,70,1,52, 01 Januari 
Jakarta Barat,KALIDERES,KALIDERES,"RW 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 16, 17",12,12,147,0,0,0,0,147,1,0,0,31,70,1,37, 01 Januari
Jakarta Barat,KALIDERES,KAMAL,"RW 01, 02, 03, 04, 07, 08, 09",7,7,0,0,0,0,0,0,0,0,0,10,70,1,0, 01 Januari
Jakarta Barat,KALIDERES,PEGADUNGAN,"RW 01, 03, 04, 06, 11",5,5,0,0,0,0,0,0,0,0,0,10,70,1,0, 01 Januari
Jakarta Barat,KALIDERES,SEMANAN,"RW 01, 03, 04, 07, 10",5,5,2112,1,0,0,0,2112,18,0,0,31,200,1,528, 01 Januari
Jakarta Barat,KALIDERES,TEGAL ALUR,"RW 03, 04, 11, 12, 15",5,5,1208,0,0,0,0,1208,10,0,0,31,150,1,302, 01 Januari
Jakarta Barat,KEBON JERUK,DURI KEPA,"'RW 02, 03, 04, 05, 09, 13, 14",7,7,130,0,0,0,0,130,4,0,0,31,70,1,60, 01 Januari
Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,"RW 01, 04, 05",3,3,36,0,0,0,0,36,1,0,0,10,150,2,9," 01, 27 Januari"
Jakarta Barat,KEBON JERUK,KEDOYA UTARA,"RW 02, 04, 05",3,3,1238,0,0,0,0,1238,15,0,0,31,100,1,309, 01 Januari
Jakarta Barat,KEBON JERUK,SUKABUMI UTARA,"RW 01, 03, 04, 07, 08, 10, 11",7,7,0,0,0,0,0,0,0,0,0,10,140,2,0," 01, 18 Januari"
Jakarta Barat,KEBON JERUK,SUKABUMI SELATAN,"RW 01, 02, 04, 08",4,7,0,0,0,0,0,0,0,0,0,30,100,1,0, 18 Januari
Jakarta Barat,KEBON JERUK,KELAPA DUA ,RW 04,1,1,0,0,0,0,0,0,0,0,0,60,60,1,0, 18 Januari
Jakarta Barat,KEMBANGAN,JOGLO,"RW 02, 06",2,2,0,0,0,0,0,0,0,0,0,31,150,1,0, 01 Januari
Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,"RW 01, 02, 03, 04, 05, 06, 08, 09",8,8,710,0,0,0,0,710,6,0,0,31,120,2,177," 01, 27 Januari"
Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,"RW 01, 02, 03, 04, 05, 06, 08, 10, 11",9,9,961,0,0,0,0,961,7,0,0,30,90,2,240," 01, 18 Januari"
Jakarta Barat,KEMBANGAN,MERUYA SELATAN,RW 07,1,1,0,0,0,0,0,0,0,0,0,80,80,1,0, 01 Januari
Jakarta Barat,KEMBANGAN,MERUYA UTARA,"RW 05, 06",2,2,0,0,0,0,0,0,0,0,0,31,70,1,0, 01 Januari
Jakarta Barat,KEMBANGAN,SRENGSENG,"RW 05, 07",2,2,15,0,0,0,0,15,1,0,0,71,150,1,4, 01 Januari
Jakarta Barat,PALMERAH,JATI PULO,"RW 01, 02, 03, 05, 09",5,5,0,0,0,0,0,0,0,0,0,10,30,2,0," 01, 18 Januari"
Jakarta Barat,PALMERAH,KEMANGGISAN,"RW  02, 03, 04, 05, 06, 08",6,6,0,0,0,0,0,0,0,0,0,31,150,2,0," 01, 18 Januari"
Jakarta Barat,PALMERAH,KOTA BAMBU SELATAN,RW 01,1,1,0,0,0,0,0,0,0,0,0,31,150,1,0, 01 Januari
Jakarta Barat,PALMERAH,KOTA BAMBU UTARA,"RW 02, 03, 04, 08, 09",5,5,0,0,0,0,0,0,0,0,0,10,70,2,0," 01, 18 Januari"
Jakarta Barat,PALMERAH,PALMERAH,"RW 03, 12, 13, 15",4,4,0,1,0,0,0,0,0,0,0,31,70,2,0," 01, 18 Januari"
Jakarta Barat,PALMERAH,SLIPI,"RW 03, 04, 05",3,3,0,0,0,0,0,0,0,0,0,31,70,1,0, 01 Januari
Jakarta Selatan,CILANDAK,CILANDAK BARAT,"RW 02, 12",2,2,300,0,0,0,0,300,2,0,0,71,180,1,75, 01 Januari
Jakarta Selatan,CILANDAK,CIPETE SELATAN,RW 07,1,1,65,0,0,0,0,65,2,0,0,10,30,1,16, 01 Januari
Jakarta Selatan,CILANDAK,LEBAK BULUS,"RW 04, 08",2,2,91,0,0,0,0,91,1,0,0,31,70,3,23," 01, 24, 26  Januari"
Jakarta Selatan,CILANDAK,PONDOK LABU,"RW 01, 02, 03, 07, 09, 10",6,6,134,0,0,0,0,134,5,0,0,31,70,2,33," 01, 26 Januari"
Jakarta Selatan,JAGAKARSA,JAGAKARSA,"RW 02, 04",2,2,235,0,0,0,0,235,1,0,0,31,70,1,87, 01 Januari
Jakarta Selatan,JAGAKARSA,TANJUNG BARAT,"RW 01, 04, 05",3,3,0,0,0,0,0,0,0,0,0,31,70,1,0, 01 Januari
Jakarta Selatan,JAGAKARSA,CIGANJUR,"RW. 01,05,06",3,5,150,0,0,0,0,150,3,0,0,30,100,1,37, 01 Januari
Jakarta Selatan,JAGAKARSA,SRENGSENG SAWAH,RW.08 ,1,1,372,0,0,0,0,372,8,0,0,10,30,1,91, 01 Januari
Jakarta Selatan,JAGAKARSA,LENTENG AGUNG,"RW. 01,02,03,07",4,4,507,0,0,0,0,507,4,0,0,10,30,1,122, 01 Januari
Jakarta Selatan,JAGAKARSA,CIPEDAK,RW.01,1,1,175,0,0,0,0,175,1,0,0,10,30,1,43, 01 Januari
Jakarta Selatan,KEBAYORAN BARU,GUNUNG,"RW 01, 06",2,2,40,0,0,0,0,40,1,0,0,71,150,1,10, 01 Januari
Jakarta Selatan,KEBAYORAN BARU,KRAMAT PELA,"RW 02, 09, 10",3,22,52,0,0,0,0,52,1,0,0,71,150,2,13," 01, 18 Januari"
Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,"RW 01, 02, 03",3,3,0,0,0,0,0,0,0,0,0,71,150,2,0," 01, 18 Januari"
Jakarta Selatan,KEBAYORAN BARU,PULO,"RW 03, 07",2,2,16,0,0,0,0,16,1,0,0,30,150,1,4, 01 Januari
Jakarta Selatan,KEBAYORAN BARU,RAWA BARAT,RW 05,1,1,99,0,0,0,0,99,1,0,0,71,150,1,24, 01 Januari
Jakarta Selatan,KEBAYORAN BARU,CIPETE UTARA,"RW.01,02,03,04,06,07,09,13",8,8,231,0,0,0,0,231,3,0,0,10,70,1,57, 01 Januari
Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,"RW 05, 06, 07, 08, 09, 10",6,6,675,0,0,0,0,675,5,0,0,30,150,1,170, 01 Januari
Jakarta Selatan,KEBAYORAN LAMA,GROGOL SELATAN,"RW 05, 06",2,2,250,0,0,0,0,250,1,0,0,31,70,2,62," 01, 18 Januari"
Jakarta Selatan,KEBAYORAN LAMA,GROGOL UTARA,"RW. 04, 05, 14",3,13,0,0,0,0,0,0,0,0,0,20,60,2,0," 01, 18 Januari"
Jakarta Selatan,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,RW 10,1,1,55,0,0,0,0,55,2,0,0,71,150,1,24, 01 Januari
Jakarta Selatan,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,RW 11,1,1,700,0,0,0,0,700,1,0,0,31,70,1,175, 01 Januari
Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,"RW 05, 08",2,2,962,0,0,0,0,962,3,0,0,31,150,1,240, 01 Januari
Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,"RW 01, 02, 03, 04",4,4,1041,0,0,0,0,1041,5,0,0,31,150,1,260, 01 Januari
Jakarta Selatan,MAMPANG PRAPATAN,KUNINGAN BARAT,"RW 01, 02, 03, 04, 05",5,5,816,0,0,0,0,816,8,0,0,71,150,1,50, 01 Januari
Jakarta Selatan,MAMPANG PRAPATAN,MAMPANG PRAPATAN,"RW 04, 06",2,2,797,0,0,0,0,797,4,0,0,31,150,1,200, 01 Januari
Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,"RW 04, 06, 09, 11",4,4,1099,0,0,0,0,1099,5,0,0,10,150,1,274, 01 Januari
Jakarta Selatan,MAMPANG PRAPATAN,TEGAL PARANG,"RW 03, 04, 05, 06, 07",5,5,1058,0,0,0,0,1058,6,0,0,31,150,1,264, 01 Januari
Jakarta Selatan,PANCORAN,CIKOKO,RW 01,1,1,147,0,0,0,0,147,1,0,0,71,150,1,36, 01 Januari
Jakarta Selatan,PANCORAN,KALIBATA,"RW 01, 04, 05, 06, 08, 09, 10",7,7,3615,0,0,0,0,3615,3,0,0,31,200,1,885, 01 Januari
Jakarta Selatan,PANCORAN,PANCORAN,"RW 03, 04",2,2,335,0,0,0,0,335,4,0,0,10,30,1,83, 01 Januari
Jakarta Selatan,PANCORAN,PENGADEGAN,"RW 01, 02",2,2,1540,0,0,0,0,1540,5,0,0,71,200,2,385," 01, 09 Januari "
Jakarta Selatan,PANCORAN,RAWAJATI,"RW 03, 07",2,2,405,0,0,0,0,405,5,0,0,10,70,3,101," 01, 09, 18 Januari "
Jakarta Selatan,PANCORAN,DUREN TIGA,"RW 01,02,05",3,3,345,0,0,0,0,345,2,0,0,10,30,2,86," 01, 18 Januari"
Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,"RW 01, 03",2,2,440,0,0,0,0,440,5,0,0,71,175,1,110, 01 Januari
Jakarta Selatan,PASAR MINGGU,JATI PADANG,"RW 01, 02, 03, 04, 05, 06, 07, 08, 09, 010",10,38,781,0,0,0,0,781,9,0,0,31,70,1,198, 01 Januari
Jakarta Selatan,PASAR MINGGU,KEBAGUSAN,"RW 01, 02, 03, 04, 05, 06, 07",7,7,185,0,0,0,0,185,5,0,0,120,120,1,46, 01 Januari
Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,"RW 05, 06, 07, 08",4,4,0,0,0,0,0,0,0,0,0,31,200,2,0," 01, 09 Januari "
Jakarta Selatan,PASAR MINGGU,PEJATEN BARAT,RW 08,1,1,0,0,0,0,0,0,0,0,0,60,80,1,0, 24 Januari
Jakarta Selatan,PESANGGRAHAN,BINTARO,"RW 04, 05, 12",3,3,596,0,0,0,0,150,2,0,0,71,150,2,149," 01, 27 Januari"
Jakarta Selatan,PESANGGRAHAN,PETUKANGAN UTARA,RW 04,1,1,150,0,0,0,0,240,2,0,0,71,150,2,38," 01, 27 Januari"
Jakarta Selatan,PESANGGRAHAN,ULUJAMI,"RW 01, 02, 05, 07, 08",5,5,321,0,0,0,0,321,9,0,0,71,200,2,80," 01, 18 Januari"
Jakarta Selatan,PESANGGRAHAN,PETUKANGAN SELATAN,RW 06,1,1,0,0,0,0,0,0,0,0,0,60,80,1,0,18 Januari
Jakarta Selatan,SETIABUDI,GUNTUR,RW 06,1,1,25,0,0,0,0,25,2,0,0,31,70,1,6, 01 Januari
Jakarta Selatan,SETIABUDI,KARET SEMANGGI,"RW 02, 03,04,08",4,4,325,0,0,0,0,325,1,0,0,71,150,1,82, 01 Januari
Jakarta Selatan,SETIABUDI,KUNINGAN TIMUR,RW.05,1,1,269,0,0,0,0,269,2,0,0,31,70,1,67, 01 Januari
Jakarta Selatan,TEBET,MANGGARAI,"RW 01, 02, 04, 05, 10, 11",6,6,256,0,0,0,0,256,5,0,0,31,150,1,67, 01 Januari
Jakarta Selatan,TEBET,MANGGARAI SELATAN,RW 02,1,1,0,0,0,0,0,0,0,0,0,71,150,1,0, 01 Januari
Jakarta Selatan,TEBET,BUKIT DURI,"RW 04, 10, 11, 12",4,4,228,1,0,0,0,228,1,0,0,71,200,2,71," 01, 24 Januari"
Jakarta Selatan,TEBET,KEBON BARU,"RW 01, 02, 04, 08, 09, 10",6,6,1750,0,0,0,0,1750,6,0,0,15,100,1,437, 01 Januari
Jakarta Timur,CAKUNG,CAKUNG BARAT,"RW 01, 03, 06, 07, 08",5,7,850,0,0,0,0,850,3,0,0,31,150,1,212, 01 Januari
Jakarta Timur,CAKUNG,CAKUNG TIMUR,"RW 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",12,12,658,0,0,0,0,658,0,0,0,10,70,1,160, 02 Januari
Jakarta Timur,CAKUNG,PENGGILINGAN,"RW 04, 06, 07",3,3,0,0,0,0,0,0,0,0,0,10,30,1,0, 01 Januari
Jakarta Timur,CAKUNG,RAWA TERATE,"RW 04, 05",2,3,195,0,0,0,0,195,0,0,0,10,200,3,48," 01 , 23, 24 Januari"
Jakarta Timur,CAKUNG,UJUNG MENTENG,RW 01,1,3,70,0,0,0,0,0,0,0,0,31,70,1,23, 01 Januari
Jakarta Timur,CAKUNG,JATINEGARA,"RW. 02,03,05,06,07,09,010,12,13,14",10,10,150,0,0,0,0,150,0,0,0,10,30,1,38, 01 Januari
Jakarta Timur,CIPAYUNG,BAMBU APUS,"RW 01, 02, 03, 05",4,9,48,0,0,0,0,48,2,0,0,31,150,1,12, 01 Januari
Jakarta Timur,CIPAYUNG,CEGER,"RW 01,02,05",3,3,80,0,0,0,0,80,1,0,0,31,70,1,20, 01 Januari
Jakarta Timur,CIPAYUNG,CIPAYUNG,"RW 03, 04, 06, 07",4,7,190,0,0,0,0,0,0,0,0,31,150,1,64, 01 Januari
Jakarta Timur,CIPAYUNG,LUBANG BUAYA,"RW 03, 12",2,5,0,0,0,0,0,0,0,0,0,71,150,1,0, 01 Januari
Jakarta Timur,CIPAYUNG,SETU,"RW 01, 02, 03, 04, 05",5,10,47,0,0,0,0,47,1,0,0,71,150,1,25, 01 Januari
Jakarta Timur,CIRACAS,CIBUBUR,"RW 03, 12, 14",3,3,20,0,0,0,0,0,0,0,0,10,70,2,5," 01, 26 Januari"
